IDProduit,NomProduit,Categorie,Prix,Stock,EnPromotion,ProduitPhare,ProduitProblematique,Taille,Groupe
201,Armoire 6 portes Bois naturel Scandinave,Armoire,580,72,False,False,False,6 portes,Chambre
410,Bibliothèque Basse Rustique Verre et métal,Bibliothèque,430,36,False,False,False,Basse,Salon
16,Table Petite Gris Verni,Table,200,59,False,False,False,Petite,Cuisine
180,Armoire 4 portes Bois naturel Classique,Armoire,540,21,False,False,False,4 portes,Chambre
307,Lit 160x200 Simple Bois,Lit,540,75,False,False,False,160x200,Chambre
477,Commode 3 tiroirs Contemporain Patiné,Commode,304,93,True,False,False,3 tiroirs,Chambre
444,Bibliothèque Haute Industriel MDF,Bibliothèque,360,83,False,True,False,Haute,Salon
469,Commode 3 tiroirs Scandinave Patiné,Commode,350,53,False,False,False,3 tiroirs,Chambre
48,Table Grande Noir Verni,Table,260,61,False,False,False,Grande,Cuisine
358,Bureau Standard Droit Composite,Bureau,260,46,False,False,False,Standard,Salon
275,Lit 90x190 Simple Bois,Lit,232,80,True,False,False,90x190,Chambre
9,Table Petite Bois naturel Mat,Table,210,64,False,True,False,Petite,Cuisine
327,Lit 180x200 Avec rangement Bois,Lit,480,52,False,False,False,180x200,Chambre
103,Chaise Petite Rouge Plastique,Chaise,64,39,True,False,False,Petite,Cuisine
342,Bureau Compact Droit Composite,Bureau,260,69,False,True,False,Compact,Salon
390,Bureau Gaming Droit Composite,Bureau,328,44,True,True,False,Gaming,Salon
534,Table Basse Petite Design Métal brossé,Table Basse,120,53,False,False,False,Petite,Salon
501,Commode 6 tiroirs Scandinave Patiné,Commode,310,24,False,False,False,6 tiroirs,Chambre
215,Canapé 2 places Cuir Moderne,Canapé,860,17,False,False,False,2 places,Salon
349,Bureau Compact En U Métal,Bureau,250,41,False,False,False,Compact,Salon
453,Bibliothèque Murale Moderne Métal,Bibliothèque,460,27,False,False,False,Murale,Salon
280,Lit 90x190 Avec rangement Métal,Lit,320,72,False,False,False,90x190,Chambre
438,Bibliothèque Haute Moderne Verre et métal,Bibliothèque,600,69,False,False,False,Haute,Salon
294,Lit 140x190 Simple Mixte,Lit,336,17,True,False,False,140x190,Chambre
429,Bibliothèque Standard Industriel Métal,Bibliothèque,410,75,False,True,False,Standard,Salon
267,Canapé Angle Velours Moderne,Canapé,910,99,False,False,False,Angle,Salon
384,Bureau Large Ergonomique Verre,Bureau,340,40,False,False,False,Large,Salon
52,Table Grande Bois naturel Verni,Table,290,99,False,False,False,Grande,Cuisine
241,Canapé 3 places Simili cuir Design,Canapé,648,44,True,True,False,3 places,Salon
6,Table Petite Noir Brillant,Table,220,42,False,True,False,Petite,Cuisine
42,Table Grande Blanc Brillant,Table,230,98,False,False,False,Grande,Cuisine
411,Bibliothèque Basse Industriel Bois massif,Bibliothèque,288,62,True,False,False,Basse,Salon
371,Bureau Large Droit Bois,Bureau,250,38,False,False,False,Large,Salon
459,Bibliothèque Murale Industriel Bois massif,Bibliothèque,710,93,False,False,False,Murale,Salon
25,Table Moyenne Noir Mat,Table,260,44,False,False,False,Moyenne,Cuisine
375,Bureau Large En L Bois,Bureau,272,27,True,False,False,Large,Salon
319,Lit 160x200 Baldaquin Bois,Lit,344,35,True,True,False,160x200,Chambre
133,Armoire 2 portes Blanc Scandinave,Armoire,440,93,False,False,False,2 portes,Chambre
523,Commode 8 tiroirs Contemporain Laqué,Commode,392,30,True,False,True,8 tiroirs,Chambre
175,Armoire 4 portes Noir Moderne,Armoire,500,10,False,True,False,4 portes,Chambre
304,Lit 140x190 Baldaquin Métal,Lit,330,53,False,True,False,140x190,Chambre
27,Table Moyenne Noir Satiné,Table,270,82,False,True,False,Moyenne,Cuisine
253,Canapé 4 places Velours Design,Canapé,860,47,False,False,False,4 places,Salon
92,Chaise Petite Gris Métal,Chaise,80,16,False,False,False,Petite,Cuisine
299,Lit 140x190 Avec tête de lit Bois,Lit,400,28,False,True,False,140x190,Chambre
537,Table Basse Petite Industriel Marbre,Table Basse,110,31,False,False,False,Petite,Salon
193,Armoire 6 portes Blanc Scandinave,Armoire,540,65,False,False,False,6 portes,Chambre
517,Commode 8 tiroirs Scandinave Patiné,Commode,380,51,False,False,False,8 tiroirs,Chambre
15,Table Petite Gris Satiné,Table,180,87,False,False,False,Petite,Cuisine
419,Bibliothèque Standard Moderne Bois massif,Bibliothèque,330,97,False,False,False,Standard,Salon
110,Chaise Moyenne Blanc Cuir,Chaise,100,72,False,False,False,Moyenne,Cuisine
68,Table Très Grande Noir Verni,Table,380,45,False,True,False,Très Grande,Cuisine
26,Table Moyenne Noir Brillant,Table,270,14,False,False,False,Moyenne,Cuisine
321,Lit 160x200 Baldaquin Tissu,Lit,510,48,False,False,False,160x200,Chambre
518,Commode 8 tiroirs Scandinave Cérusé,Commode,480,89,False,False,False,8 tiroirs,Chambre
387,Bureau Gaming Droit Bois,Bureau,320,48,True,False,False,Gaming,Salon
430,Bibliothèque Standard Industriel Verre et métal,Bibliothèque,380,99,False,False,False,Standard,Salon
346,Bureau Compact En L Composite,Bureau,260,42,False,False,False,Compact,Salon
168,Armoire 3 portes Chêne Classique,Armoire,490,27,False,False,False,3 portes,Chambre
63,Table Très Grande Blanc Satiné,Table,360,99,False,False,False,Très Grande,Cuisine
166,Armoire 3 portes Gris Vintage,Armoire,370,65,False,False,False,3 portes,Chambre
